Name	Count	set_code
Baffling End	2	RIX
Bishop of Binding	1	RIX
Blazing Hope	2	RIX
Cleansing Ray	6	RIX
Divine Verdict	6	RIX
Divine Verdict	1	W17
Everdawn Champion	4	RIX
Exultant Skymarcher	9	RIX
Famished Paladin	2	RIX
Forerunner of the Legion	2	RIX
Imperial Ceratops	3	RIX
Legion Conquistador	6	RIX
Legion Conquistador	4	XLN
Luminous Bonds	6	RIX
Majestic Heliopterus	2	RIX
Martyr of Dusk	5	RIX
Moment of Triumph	8	RIX
Paladin of Atonement	1	RIX
Pride of Conquerors	2	RIX
Radiant Destiny	1	RIX
Raptor Companion	5	RIX
Raptor Companion	7	XLN
Sanguine Glorifier	8	RIX
Skymarcher Aspirant	1	RIX
Slaughter the Strong	1	RIX
Snubhorn Sentry	7	RIX
Sphinx's Decree	2	RIX
Squire's Devotion	6	RIX
Sun Sentinel	7	RIX
Sun-Crested Pterodon	7	RIX
Temple Altisaur	1	RIX
Trapjaw Tyrant	1	RIX
Zetalpa, Primal Dawn	1	RIX
Admiral's Order	1	RIX
Aquatic Incursion	3	RIX
Crafty Cutpurse	1	RIX
Crashing Tide	9	RIX
Curious Obsession	3	RIX
Deadeye Rig-Hauler	7	RIX
Expel from Orazca	2	RIX
Flood of Recollection	4	RIX
Hornswoggle	3	RIX
Induced Amnesia	1	RIX
Kitesail Corsair	9	RIX
Kumena's Awakening	2	RIX
Mist-Cloaked Herald	8	RIX
Negate	8	RIX
Negate	5	AER
Negate	3	DTK
River Darter	8	RIX
Riverwise Augur	4	RIX
Sailor of Means	8	RIX
Sailor of Means	4	XLN
Sea Legs	8	RIX
Seafloor Oracle	2	RIX
Secrets of the Golden City	6	RIX
Silvergill Adept	3	RIX
Siren Reaver	3	RIX
Slippery Scoundrel	3	RIX
Soul of the Rapids	7	RIX
Spire Winder	7	RIX
Sworn Guardian	8	RIX
Warkite Marauder	1	RIX
Waterknot	8	RIX
Arterial Flow	3	RIX
Canal Monitor	8	RIX
Champion of Dusk	1	RIX
Dark Inquiry	10	RIX
Dead Man's Chest	1	RIX
Dinosaur Hunter	8	RIX
Dusk Charger	4	RIX
Dusk Legion Zealot	9	RIX
Fathom Fleet Boarder	7	RIX
Forerunner of the Coalition	2	RIX
Golden Demise	3	RIX
Grasping Scoundrel	9	RIX
Gruesome Fate	7	RIX
Impale	8	RIX
Mastermind's Acquisition	1	RIX
Mausoleum Harpy	2	RIX
Moment of Craving	7	RIX
Oathsworn Vampire	2	RIX
Pitiless Plunderer	4	RIX
Ravenous Chupacabra	2	RIX
Reaver Ambush	1	RIX
Recover	8	RIX
Sadistic Skymarcher	2	RIX
Tetzimoc, Primal Death	1	RIX
Vampire Revenant	7	RIX
Vona's Hunger	2	RIX
Voracious Vampire	6	RIX
Blood Sun	1	RIX
Bombard	7	RIX
Brass's Bounty	1	RIX
Brazen Freebooter	7	RIX
Buccaneer's Bravado	5	RIX
Charging Tuskodon	3	RIX
Daring Buccaneer	3	RIX
Dire Fleet Daredevil	1	RIX
Fanatical Firebrand	7	RIX
Forerunner of the Empire	4	RIX
Form of the Dinosaur	2	RIX
Frilled Deathspitter	7	RIX
Goblin Trailblazer	8	RIX
Mutiny	7	RIX
Needletooth Raptor	2	RIX
Orazca Raptor	10	RIX
Pirate's Pillage	3	RIX
Reckless Rage	5	RIX
See Red	2	RIX
Shake the Foundations	2	RIX
Shatter	8	RIX
Silverclad Ferocidons	1	RIX
Stampeding Horncrest	6	RIX
Storm Fleet Swashbuckler	2	RIX
Sun-Collared Raptor	6	RIX
Swaggering Corsair	10	RIX
Tilonalli's Crown	8	RIX
Aggressive Urge	8	RIX
Cacophodon	2	RIX
Cherished Hatchling	3	RIX
Colossal Dreadmaw	6	RIX
Colossal Dreadmaw	9	XLN
Crested Herdcaller	3	RIX
Enter the Unknown	3	RIX
Forerunner of the Heralds	3	RIX
Ghalta, Primal Hunger	1	RIX
Giltgrove Stalker	8	RIX
Hardy Veteran	6	RIX
Hunt the Weak	8	RIX
Hunt the Weak	4	KLD
Jade Bearer	8	RIX
Jadecraft Artisan	8	RIX
Jadelight Ranger	1	RIX
Jungleborn Pioneer	8	RIX
Knight of the Stampede	6	RIX
Naturalize	5	RIX
Naturalize	1	KTK
Naturalize	4	DTK
Orazca Frillback	7	RIX
Overgrown Armasaur	9	RIX
Path of Discovery	1	RIX
Plummet	6	RIX
Strength of the Pack	4	RIX
Swift Warden	4	RIX
Tendershoot Dryad	1	RIX
Thrashing Brontodon	3	RIX
Thunderherd Migration	2	RIX
Wayward Swordtooth	1	RIX
Angrath, the Flame-Chained	1	RIX
Atzocan Seer	1	RIX
Azor, the Lawbringer	1	RIX
Deadeye Brawler	2	RIX
Dire Fleet Neckbreaker	3	RIX
Elenda, the Dusk Rose	1	RIX
Hadana's Climb	2	RIX
Jungle Creeper	3	RIX
Merfolk Mistbinder	4	RIX
Protean Raider	2	RIX
Raging Regisaur	2	RIX
Relentless Raptor	2	RIX
Resplendent Griffin	4	RIX
Siegehorn Ceratops	1	RIX
Storm Fleet Sprinter	4	RIX
Path of Mettle	1	RIX
Azor's Gateway	2	RIX
Captain's Hook	1	RIX
Gleaming Barrier	6	RIX
Golden Guardian	1	RIX
Orazca Relic	7	RIX
Silent Gravestone	2	RIX
Strider Harness	6	RIX
Traveler's Amulet	8	RIX
Traveler's Amulet	4	HOU
Arch of Orazca	2	RIX
Evolving Wilds	10	RIX
Evolving Wilds	3	DTK
Evolving Wilds	4	AKH
Forsaken Sanctuary	3	RIX
Forsaken Sanctuary	2	AKH
Foul Orchard	2	RIX
Foul Orchard	2	AKH
Highland Lake	3	RIX
Highland Lake	2	AKH
Stone Quarry	2	RIX
Stone Quarry	2	AKH
Woodland Stream	1	RIX
Woodland Stream	4	XLN
Woodland Stream	2	AKH
Angrath, Minotaur Pirate	1	RIX
Angrath's Ambusher	3	RIX
Swab Goblin	4	RIX
Angrath's Fury	2	RIX
Cinder Barrens	4	RIX
Cinder Barrens	2	AKH
Profane Procession	1	RIX
Bellowing Aegisaur	2	XLN
Bishop of Rebirth	1	XLN
Bishop's Soldier	6	XLN
Bright Reprisal	4	XLN
Demystify	5	XLN
Duskborne Skymarcher	3	XLN
Emissary of Sunrise	2	XLN
